Model,Accuracy_Mean,Accuracy_Std,Precision_Mean,Recall_Mean,F1_Mean,F1_Std,ROC_AUC_Mean,Train_Time_Mean,Predict_Time_Mean
Support Vector Machine,0.9277,0.001,0.9275,0.9277,0.9274,0.0008,0.9941,14.7209,0.9211
Multi-layer Perceptron,0.9232,,0.9231,0.9232,0.9231,,0.994,25.0,0.0057
