Random State,Model,Accuracy,Precision,Recall,F1,ROC-AUC,Train Time,Predict Time
42,Logistic Regression,0.9158671586715867,0.9162228126277289,0.9158671586715867,0.9159004771291073,0.9929342005624693,0.6237318515777588,0.0012128353118896484
42,Linear Discriminant Analysis,0.9084870848708487,0.9172378860205912,0.9084870848708487,0.9094516193012121,0.9910357337159336,0.04715919494628906,0.0014772415161132812
42,Decision Tree,0.8981549815498155,0.8978259006389537,0.8981549815498155,0.8973511277319235,0.9371527285630828,1.0815482139587402,0.00961756706237793
42,Random Forest,0.9092250922509225,0.9090300375355498,0.9092250922509225,0.9088202268728464,0.9896646214342151,6.681234121322632,0.0497584342956543
42,Gradient Boosting,0.9143911439114392,0.9145637822970615,0.9143911439114392,0.9143145893902835,0.9924398513175599,59.804383516311646,0.023688077926635742
42,K-Nearest Neighbors,0.9166051660516605,0.9171921058217675,0.9166051660516605,0.9166190493643783,0.9801549885188691,0.0037364959716796875,10.779916048049927
42,Gaussian Naive Bayes,0.7564575645756457,0.7583841198102849,0.7564575645756457,0.7534160912883058,0.9634067006588735,0.012003898620605469,0.005060434341430664
42,AdaBoost,0.7638376383763837,0.8212028918680502,0.7638376383763837,0.7355052047689897,0.9644841342840702,2.098231315612793,0.02798771858215332
42,Support Vector Machine,0.9173431734317343,0.917709931507578,0.9173431734317343,0.9174163790475782,0.9932454982804177,7.08563756942749,0.48106813430786133
42,Multi-layer Perceptron,0.9217712177121771,0.9217323532444681,0.9217712177121771,0.9216616909585728,0.9937956501282909,15.378183841705322,0.003360271453857422
100,Logistic Regression,0.9306273062730628,0.9312163016131778,0.9306273062730628,0.9308419543051619,0.9949379649712843,0.43305253982543945,0.000926971435546875
100,Linear Discriminant Analysis,0.9136531365313653,0.9246117205848609,0.9136531365313653,0.9154346818349718,0.9924389540854703,0.0380859375,0.0013079643249511719
100,Decision Tree,0.8981549815498155,0.8985784199699506,0.8981549815498155,0.8982026159823895,0.9363737287968594,0.35880041122436523,0.00266265869140625
100,Random Forest,0.9291512915129151,0.9291769424477522,0.9291512915129151,0.9290912031164167,0.9946804425903455,5.505398511886597,0.04259920120239258
100,Gradient Boosting,0.9321033210332104,0.9321991159623725,0.9321033210332104,0.9320190461234523,0.9942582461762401,69.61990284919739,0.023268461227416992
100,K-Nearest Neighbors,0.933579335793358,0.9339702012767537,0.933579335793358,0.9337193929835577,0.9840447016150359,0.00334930419921875,0.11514711380004883
100,Gaussian Naive Bayes,0.766789667896679,0.7667784830404784,0.766789667896679,0.7628243989259502,0.9646243711342816,0.021658658981323242,0.007920980453491211
100,AdaBoost,0.8287822878228782,0.8588200662309599,0.8287822878228782,0.8187763179369286,0.9708901219801057,2.2672476768493652,0.022652626037597656
100,Support Vector Machine,0.9365313653136531,0.9368705793299338,0.9365313653136531,0.9366525982734947,0.9957076688700558,6.610499382019043,0.4680626392364502
100,Multi-layer Perceptron,0.9394833948339484,0.9396804897733855,0.9394833948339484,0.9393052610087499,0.9960486165238659,18.911722421646118,0.0035858154296875
2026,Logistic Regression,0.9232472324723248,0.9228709963507314,0.9232472324723248,0.922923565007162,0.9927394465551533,0.40376901626586914,0.0008783340454101562
2026,Linear Discriminant Analysis,0.9077490774907749,0.915625658321582,0.9077490774907749,0.9091562212778086,0.9913605663557304,0.04041552543640137,0.00098419189453125
2026,Decision Tree,0.8988929889298893,0.8982066907520203,0.8988929889298893,0.8980808562143259,0.9376130739990456,0.386066198348999,0.0026252269744873047
2026,Random Forest,0.9180811808118081,0.9175992162771679,0.9180811808118081,0.9174969613497103,0.9905373402128568,5.548311471939087,0.04166412353515625
2026,Gradient Boosting,0.922509225092251,0.9221594553358571,0.922509225092251,0.9219793538382335,0.9936076574912113,59.27744269371033,0.01886916160583496
2026,K-Nearest Neighbors,0.9099630996309963,0.9093377605914641,0.9099630996309963,0.9094842198090055,0.9786794189294298,0.006087779998779297,0.12313008308410645
2026,Gaussian Naive Bayes,0.7498154981549815,0.7495767210506972,0.7498154981549815,0.7490066868045284,0.9611123541503683,0.018969297409057617,0.010072708129882812
2026,AdaBoost,0.7977859778597786,0.8029584173696408,0.7977859778597786,0.7809639022520051,0.9624569994045636,2.2885000705718994,0.025090456008911133
2026,Support Vector Machine,0.9269372693726937,0.9265785470874496,0.9269372693726937,0.9265256297199959,0.9933486578564855,6.979670286178589,0.5040595531463623
2026,Multi-layer Perceptron,0.9261992619926199,0.9259399644840295,0.9261992619926199,0.9258158519025202,0.9941401285916913,19.368242502212524,0.0032799243927001953
