Random State,Model,Accuracy,Precision,Recall,F1,ROC-AUC
42,Multi-layer Perceptron,0.9232472324723248,0.9231264474214445,0.9232472324723248,0.9231187979570389,0.9940299775922277
10,Support Vector Machine,0.9269372693726937,0.926917438420067,0.9269372693726937,0.9268351319853045,0.9946988095802196
2026,Support Vector Machine,0.9284132841328413,0.9281385199034583,0.9284132841328413,0.9280366282442559,0.9934059219664194
